Start,End,,,,
1754,2693,,,,
3068,3510,,,,
4920,5302,,,,
6459,6848,,,,
7255,7450,,,,
7705,8133,,,,
11410,12373,,,,
15380,15540,,,,
15540,16100,,,,
90685,90917,,,,
92140,92570,,,,
93445,93720,,,,
103092,103808,,,,
115843,116101,,,,
116143,116537,,,,
117000,117720,,,,
132918,133380,,,,
142954,143650,,,,
172268,172588,,,,
172910,173521,,,,
198296,199740,,,,
227828,229518,,,,
229519,263727,,,,
279120,279240,,,,
280060,281230,,,,
302734,303100,,,,
347760,348360,,,,
361272,361715,,,,
371560,371660,,,,
371936,372416,,,,
389761,390300,,,,
436622,437090,,,,
437498,437778,,,,
438228,438628,,,,
438702,438998,,,,
443582,445256,,,,
